,Email No.,the,to,ect,and,for,of,a,you,hou
557,Email 558,3,3,1,1,2,1,27,0,0
558,Email 559,2,10,2,4,2,10,58,5,0
559,Email 560,1,2,3,1,1,0,46,2,1
560,Email 561,0,3,1,1,1,2,25,3,0
561,Email 562,9,5,1,0,3,1,20,2,0
562,Email 563,1,0,1,0,0,0,3,0,0
563,Email 564,3,3,2,0,0,0,10,1,0
564,Email 565,12,13,4,2,4,0,95,3,3
565,Email 566,3,1,1,0,2,2,16,1,0
566,Email 567,0,0,1,0,0,0,7,1,0
567,Email 568,8,7,12,2,3,1,81,2,4
568,Email 569,2,3,1,1,0,1,43,0,0
569,Email 570,8,9,37,1,6,0,65,10,17
570,Email 571,9,31,7,14,4,3,519,1,2
571,Email 572,20,10,3,6,3,4,83,3,1
572,Email 573,16,12,2,3,7,6,62,8,0
573,Email 574,1,8,2,1,0,8,50,6,1
574,Email 575,1,2,1,2,1,1,32,4,0
575,Email 576,2,7,2,2,1,1,30,3,0
576,Email 577,4,7,4,3,2,2,61,3,1
577,Email 578,5,7,1,2,3,4,130,3,3
578,Email 579,9,8,4,4,2,1,73,2,1
579,Email 580,4,6,1,2,0,4,47,2,2
580,Email 581,7,9,6,9,7,7,135,3,1
581,Email 582,8,34,6,10,4,4,412,4,5
582,Email 583,10,6,1,4,4,3,42,3,0
583,Email 584,2,0,1,2,0,0,8,0,0
584,Email 585,0,0,1,0,0,0,7,1,0
585,Email 586,7,5,1,2,4,1,24,0,0
586,Email 587,5,1,1,2,0,1,17,0,0
587,Email 588,5,6,2,3,5,1,55,8,2
588,Email 589,1,0,1,0,0,0,4,1,0
589,Email 590,13,1,2,3,6,1,37,2,0
590,Email 591,14,3,11,6,8,1,56,3,4
591,Email 592,32,24,1,9,5,2,110,29,1
592,Email 593,2,2,1,0,1,0,10,1,0
593,Email 594,1,3,8,0,5,0,47,2,3
594,Email 595,31,49,8,26,14,24,263,24,1
595,Email 596,0,0,2,0,0,0,0,0,0
596,Email 597,19,12,12,7,8,4,111,10,7
597,Email 598,1,0,1,0,0,0,10,0,0
598,Email 599,7,11,1,2,7,7,73,8,0
599,Email 600,5,2,1,0,2,1,27,0,0
600,Email 601,1,3,4,1,1,0,29,1,0
601,Email 602,3,5,14,1,2,0,47,1,5
602,Email 603,3,1,7,0,2,0,27,2,3
603,Email 604,6,7,23,2,3,0,67,1,9
604,Email 605,2,0,1,2,2,1,13,0,0
605,Email 606,1,4,1,1,1,0,13,0,0
606,Email 607,5,3,1,2,1,2,20,1,0
607,Email 608,2,3,2,0,3,2,15,2,0
608,Email 609,124,52,32,34,37,55,559,0,5
609,Email 610,8,3,2,2,5,0,26,0,0
610,Email 611,0,0,1,0,0,0,9,0,0
611,Email 612,5,4,2,3,4,6,39,3,0
612,Email 613,0,1,1,0,1,0,9,0,1
613,Email 614,16,23,8,6,6,8,119,5,2
614,Email 615,0,1,1,0,0,0,2,0,0
615,Email 616,3,11,3,5,6,0,43,0,0
616,Email 617,4,13,5,6,9,0,62,0,0
617,Email 618,2,9,2,4,3,0,22,0,0
618,Email 619,2,4,8,1,3,1,17,0,4
619,Email 620,0,6,1,1,0,0,12,1,0
620,Email 621,0,3,1,0,2,1,34,0,0
621,Email 622,2,4,1,1,2,0,33,2,0
622,Email 623,0,0,1,2,3,0,22,1,0
623,Email 624,4,4,12,0,6,2,32,5,4
624,Email 625,2,6,1,5,2,5,33,4,0
625,Email 626,40,132,29,27,27,28,1898,2,27
626,Email 627,3,8,1,2,0,0,26,2,0
627,Email 628,12,15,22,11,5,6,105,3,9
628,Email 629,2,1,1,1,6,0,18,0,0
629,Email 630,32,20,5,15,9,25,154,12,0
630,Email 631,2,1,1,1,0,0,6,0,0
631,Email 632,3,5,8,1,5,2,30,2,4
632,Email 633,1,1,8,1,2,0,21,1,3
633,Email 634,1,0,1,0,1,1,16,0,0
634,Email 635,4,2,2,3,3,2,38,4,0
635,Email 636,2,6,1,1,4,0,20,1,0
636,Email 637,7,7,1,3,0,5,55,9,0
637,Email 638,3,12,4,3,1,1,48,7,2
638,Email 639,1,0,2,0,0,0,11,2,0
639,Email 640,1,0,1,0,0,0,7,0,0
640,Email 641,4,11,14,1,6,2,44,2,6
641,Email 642,3,12,16,2,4,1,36,1,7
642,Email 643,5,8,8,2,2,2,37,2,3
643,Email 644,1,3,1,0,0,0,8,2,0
644,Email 645,24,13,9,5,7,4,94,4,4
645,Email 646,14,8,6,0,2,1,44,1,1
646,Email 647,44,20,7,24,2,26,207,0,2
647,Email 648,12,7,2,3,1,6,64,2,0
648,Email 649,3,4,1,1,2,0,21,1,0
649,Email 650,19,12,15,7,2,7,114,2,5
650,Email 651,61,46,11,27,28,55,402,5,5
651,Email 652,12,11,3,1,2,1,57,2,1
652,Email 653,1,0,1,1,0,0,15,0,0
653,Email 654,0,2,1,1,0,0,18,1,0
654,Email 655,10,10,10,4,5,3,78,4,5
655,Email 656,7,3,2,3,0,2,22,2,0
656,Email 657,11,9,1,11,1,2,198,6,0
657,Email 658,34,31,6,19,17,26,250,3,3
658,Email 659,19,15,24,1,3,3,79,3,9
659,Email 660,6,1,1,3,0,2,44,4,0
660,Email 661,9,3,1,4,4,3,22,9,1
661,Email 662,6,8,2,2,2,2,34,4,0
662,Email 663,0,0,1,0,0,0,3,2,0
663,Email 664,31,22,60,8,8,14,217,5,27
664,Email 665,0,0,1,3,0,1,18,1,0
665,Email 666,3,5,85,4,2,0,88,2,43
666,Email 667,3,2,1,2,0,2,27,2,1
667,Email 668,1,3,1,0,1,0,10,1,0
668,Email 669,0,1,2,0,1,0,16,0,0
669,Email 670,7,22,6,14,5,0,444,1,1
670,Email 671,6,5,1,4,5,5,51,3,0
671,Email 672,6,4,12,1,1,0,39,1,5
672,Email 673,3,2,1,3,0,4,41,3,1
673,Email 674,0,0,1,0,0,0,0,0,0
674,Email 675,4,2,1,0,1,0,19,0,0
675,Email 676,4,5,8,2,3,1,42,5,4
676,Email 677,0,0,1,1,1,0,18,1,0
677,Email 678,0,0,1,1,1,0,21,1,0
678,Email 679,41,40,77,9,27,4,280,16,45
679,Email 680,1,2,2,0,0,0,10,0,0
680,Email 681,20,11,13,5,7,2,88,3,8
681,Email 682,0,4,1,0,0,2,18,1,0
682,Email 683,5,6,8,0,6,1,59,1,3
683,Email 684,37,22,35,7,11,5,161,7,19
684,Email 685,4,2,1,1,2,1,16,1,0
685,Email 686,5,3,1,6,1,5,46,5,1
686,Email 687,24,30,2,13,19,10,174,17,2
687,Email 688,2,5,2,1,0,1,13,0,0
688,Email 689,2,0,1,1,0,0,15,2,0
689,Email 690,1,0,1,1,0,0,6,0,0
690,Email 691,1,2,1,0,1,0,19,0,0
691,Email 692,5,3,1,2,1,2,24,4,0
692,Email 693,0,0,1,0,0,0,4,0,0
693,Email 694,0,1,2,0,1,0,10,0,0
694,Email 695,6,6,1,1,0,1,23,2,0
695,Email 696,4,3,2,1,3,1,42,1,0
696,Email 697,0,1,2,0,0,0,12,2,0
697,Email 698,0,0,1,0,0,0,8,0,0
698,Email 699,0,0,1,0,1,0,1,0,0
699,Email 700,8,4,2,3,4,0,36,1,0
700,Email 701,9,5,9,3,4,1,46,1,5
701,Email 702,9,7,20,3,5,2,63,1,9
702,Email 703,9,8,19,4,5,1,62,3,9
703,Email 704,2,1,1,2,0,0,20,3,0
704,Email 705,1,1,1,0,0,1,7,0,0
705,Email 706,4,2,1,1,1,0,22,1,1
706,Email 707,1,6,2,0,1,0,41,1,0
707,Email 708,0,0,1,0,0,0,1,0,0
708,Email 709,1,3,2,0,1,1,37,1,0
709,Email 710,0,0,1,0,2,1,7,2,1
710,Email 711,0,6,3,0,1,0,10,0,0
711,Email 712,1,2,2,0,4,0,20,0,0
712,Email 713,3,3,4,2,1,0,62,0,1
713,Email 714,1,1,1,0,0,1,10,2,0
714,Email 715,0,1,2,0,3,0,16,0,0
715,Email 716,0,1,5,0,1,0,21,2,1
716,Email 717,2,2,2,0,0,1,5,0,0
717,Email 718,1,6,1,1,1,0,130,1,1
718,Email 719,10,5,2,1,0,1,37,3,0
719,Email 720,10,7,17,2,2,0,70,2,7
720,Email 721,30,20,19,20,18,22,241,5,1
721,Email 722,1,4,1,1,1,1,13,0,0
722,Email 723,2,2,1,3,2,2,36,3,1
723,Email 724,1,0,1,0,0,1,3,0,0
724,Email 725,0,0,1,0,0,0,4,0,0
725,Email 726,0,2,1,0,1,0,2,0,1
726,Email 727,23,12,4,3,6,6,90,7,1
727,Email 728,7,17,13,1,6,0,109,18,0
728,Email 729,4,1,1,0,2,2,20,0,0
729,Email 730,2,5,1,0,3,0,27,3,0
730,Email 731,8,3,1,2,0,0,51,5,1
731,Email 732,8,16,13,4,4,4,70,4,6
732,Email 733,0,1,2,1,0,0,15,1,0
733,Email 734,6,5,1,10,5,5,63,8,2
734,Email 735,10,13,111,7,10,4,202,9,68
735,Email 736,2,6,5,3,3,2,39,1,2
736,Email 737,0,3,1,1,1,0,23,2,0
737,Email 738,3,3,1,2,0,0,19,1,0
738,Email 739,42,21,24,12,12,6,230,4,9
739,Email 740,4,0,1,0,5,0,22,0,0
740,Email 741,1,1,1,1,0,0,12,0,0
741,Email 742,4,9,2,1,2,2,20,0,0
742,Email 743,0,0,1,0,1,0,3,0,0
743,Email 744,2,0,1,1,3,1,45,2,0
744,Email 745,0,1,2,0,1,0,11,0,0
745,Email 746,0,2,1,1,1,0,13,2,0
746,Email 747,10,15,6,12,7,4,140,7,1
747,Email 748,8,6,9,4,3,0,58,1,5
748,Email 749,7,6,6,5,3,1,76,7,2
749,Email 750,0,0,1,0,0,0,5,0,0
750,Email 751,3,3,1,0,0,0,10,3,0
751,Email 752,1,5,2,3,0,2,56,3,0
752,Email 753,3,2,1,0,1,0,30,2,0
753,Email 754,70,66,11,46,20,36,477,5,10
754,Email 755,13,16,10,1,2,1,78,3,5
755,Email 756,8,1,3,2,4,0,49,3,0
756,Email 757,4,1,2,0,1,1,19,1,1
757,Email 758,2,5,2,0,1,2,27,0,0
758,Email 759,5,7,15,2,3,1,38,0,7
759,Email 760,0,1,1,1,0,0,9,1,0
760,Email 761,4,2,1,2,1,0,20,0,0
761,Email 762,0,10,2,1,5,2,140,2,0
762,Email 763,35,24,2,16,13,16,173,20,1
763,Email 764,5,3,2,1,3,6,55,3,0
764,Email 765,1,0,1,0,1,0,3,0,0
765,Email 766,29,22,81,11,14,3,249,5,45
766,Email 767,0,1,1,0,0,0,1,0,0
767,Email 768,5,2,3,0,2,4,28,1,2
768,Email 769,6,6,1,1,2,2,34,1,0
769,Email 770,2,0,2,3,4,1,26,1,3
770,Email 771,27,17,2,13,9,5,127,1,5
771,Email 772,14,21,2,19,9,14,178,29,0
772,Email 773,3,12,4,3,1,1,47,7,2
773,Email 774,5,12,1,2,4,7,82,6,1
774,Email 775,0,1,1,1,0,0,2,0,0
775,Email 776,36,9,3,6,9,3,129,7,2
776,Email 777,4,3,1,1,0,2,24,0,0
777,Email 778,7,6,15,3,2,1,44,0,7
778,Email 779,7,3,1,2,3,2,31,1,0
779,Email 780,10,16,101,1,6,0,135,2,50
780,Email 781,12,6,9,2,2,0,81,6,4
781,Email 782,1,0,3,0,2,0,11,2,0
782,Email 783,0,2,2,3,1,0,20,0,0
783,Email 784,17,17,5,16,14,12,145,18,0
784,Email 785,20,8,22,5,3,0,115,6,10
785,Email 786,23,23,3,19,7,27,233,22,3
786,Email 787,5,6,4,1,5,2,35,1,2
787,Email 788,0,0,1,0,1,0,3,0,0
788,Email 789,0,4,1,0,1,3,24,0,0
789,Email 790,2,4,1,1,0,0,17,3,0
790,Email 791,0,0,1,0,0,0,2,0,0
791,Email 792,3,3,1,1,2,1,25,0,0
792,Email 793,0,1,2,0,1,0,15,0,0
793,Email 794,0,1,1,0,0,0,1,0,0
794,Email 795,1,3,1,0,1,1,27,1,0
795,Email 796,0,0,2,0,1,0,10,0,0
796,Email 797,1,2,1,2,0,0,12,2,0
797,Email 798,5,1,1,2,3,1,23,1,0
798,Email 799,0,0,1,0,0,0,1,0,0
799,Email 800,34,13,8,5,15,10,122,24,6
800,Email 801,28,13,6,5,12,4,121,14,0
801,Email 802,2,3,14,2,2,1,32,2,5
802,Email 803,20,10,2,9,5,5,71,5,0
803,Email 804,4,8,2,1,3,0,17,1,0
804,Email 805,0,1,1,0,0,0,3,1,0
805,Email 806,14,39,14,15,2,9,532,22,0
806,Email 807,4,14,2,0,8,2,69,16,0
807,Email 808,1,0,1,1,1,1,7,0,0
808,Email 809,8,6,7,4,6,1,46,4,2
809,Email 810,10,17,6,6,14,4,120,4,3
810,Email 811,1,0,1,0,0,0,2,1,0
811,Email 812,3,14,1,1,2,1,33,0,0
812,Email 813,38,10,4,6,9,3,137,7,2
813,Email 814,5,8,6,1,3,3,128,1,1
814,Email 815,2,0,1,0,1,0,9,0,0
815,Email 816,3,2,28,1,3,2,35,0,13
816,Email 817,4,9,7,1,3,1,40,1,2
817,Email 818,0,0,1,0,0,0,1,0,0
818,Email 819,2,1,1,1,0,1,17,0,0
819,Email 820,67,45,14,23,32,54,398,5,4
820,Email 821,1,2,1,2,3,0,29,2,0
821,Email 822,2,0,1,0,2,0,16,2,0
822,Email 823,2,3,3,1,2,1,31,1,1
823,Email 824,4,3,1,3,0,1,8,1,0
824,Email 825,3,4,1,1,0,2,31,2,1
825,Email 826,16,9,22,0,8,2,114,6,10
826,Email 827,2,8,5,0,3,0,23,0,0
827,Email 828,3,14,2,1,9,1,64,16,0
828,Email 829,0,3,1,0,0,0,12,2,0
829,Email 830,24,14,1,16,11,12,137,20,0
830,Email 831,11,9,25,1,5,1,70,3,8
831,Email 832,2,3,17,1,4,0,42,2,6
832,Email 833,0,2,1,1,0,0,11,1,0
833,Email 834,6,2,3,2,1,2,28,0,2
834,Email 835,4,3,1,0,2,0,32,0,0
835,Email 836,0,0,1,0,0,0,1,0,0
836,Email 837,1,0,1,1,0,0,11,0,0
837,Email 838,0,3,1,0,2,0,35,0,0
838,Email 839,2,1,2,0,3,0,15,0,0
839,Email 840,1,1,1,0,4,0,11,2,0
840,Email 841,7,6,1,3,1,3,48,5,0
841,Email 842,1,6,2,1,1,2,102,3,1
842,Email 843,9,9,2,5,5,2,83,5,0
843,Email 844,0,1,1,0,0,0,0,0,0
844,Email 845,1,2,2,0,1,0,18,2,0
845,Email 846,4,3,7,1,2,0,40,5,3
846,Email 847,0,1,1,0,0,1,39,1,0
847,Email 848,1,3,2,1,3,0,12,0,0
848,Email 849,7,6,3,4,1,2,140,2,1
849,Email 850,2,7,2,0,3,1,25,0,0
850,Email 851,17,11,3,9,6,1,131,20,0
851,Email 852,1,7,1,3,0,0,31,12,0
852,Email 853,59,54,188,18,20,13,528,8,92
853,Email 854,1,1,1,0,0,1,9,3,0
854,Email 855,4,6,7,0,2,1,24,0,2
855,Email 856,4,9,7,1,3,2,38,1,2
856,Email 857,19,12,5,6,3,3,86,14,1
857,Email 858,2,1,1,0,0,0,12,3,0
858,Email 859,2,1,2,1,0,0,29,1,1
859,Email 860,2,1,2,1,0,0,33,1,1
860,Email 861,3,0,1,1,0,1,11,0,0
861,Email 862,0,1,1,0,0,1,0,0,0
862,Email 863,51,48,112,16,20,12,442,8,54
863,Email 864,1,6,8,1,1,0,41,3,2
864,Email 865,1,2,1,1,0,0,10,3,0
865,Email 866,8,3,1,2,5,1,22,2,0
866,Email 867,1,2,1,1,2,0,36,1,1
867,Email 868,10,10,6,6,6,2,94,0,0
868,Email 869,1,3,2,2,2,0,16,4,1
869,Email 870,1,0,1,2,2,0,13,1,0
870,Email 871,1,1,1,2,0,0,10,0,0
871,Email 872,78,71,194,21,27,14,654,9,90
872,Email 873,6,2,2,3,1,1,26,1,0
873,Email 874,3,2,1,3,2,1,110,4,0
874,Email 875,29,9,1,6,9,10,187,8,4
875,Email 876,6,5,10,6,6,2,69,3,7
876,Email 877,6,2,9,3,3,0,45,1,4
877,Email 878,3,2,3,1,1,0,27,1,0
878,Email 879,9,10,13,3,2,2,43,0,8
879,Email 880,6,1,2,2,3,0,24,0,0
880,Email 881,3,4,2,2,0,1,70,0,0
881,Email 882,4,6,2,1,0,0,26,0,1
882,Email 883,0,1,1,0,1,2,9,0,0
883,Email 884,5,0,1,0,3,1,17,1,1
884,Email 885,38,26,2,15,6,7,166,16,5
885,Email 886,2,3,1,0,0,0,14,2,0
886,Email 887,4,10,3,5,4,3,105,1,0
887,Email 888,26,15,5,18,10,20,174,0,0
888,Email 889,1,2,3,0,0,1,19,2,0
889,Email 890,24,17,28,13,11,3,165,4,15
890,Email 891,1,6,5,2,2,4,141,1,1
891,Email 892,3,1,1,1,2,0,29,2,0
892,Email 893,3,4,1,5,2,0,109,5,0
893,Email 894,5,10,1,1,2,0,27,0,0
894,Email 895,2,8,2,2,0,2,97,0,0
895,Email 896,2,0,1,0,2,0,10,0,0
896,Email 897,12,12,2,10,6,17,96,10,2
897,Email 898,1,0,1,0,0,0,12,0,0
898,Email 899,1,6,2,4,6,3,51,9,4
899,Email 900,5,3,2,0,1,0,20,0,0
900,Email 901,2,0,1,0,1,0,15,0,0
901,Email 902,28,10,12,8,3,4,136,2,3
902,Email 903,1,0,1,0,0,0,5,0,0
903,Email 904,0,8,1,1,1,0,13,1,0
904,Email 905,1,0,1,0,0,1,9,3,0
905,Email 906,21,18,2,10,4,4,140,5,3
906,Email 907,9,11,9,0,1,0,61,0,5
907,Email 908,10,17,30,9,9,2,123,3,16
908,Email 909,6,10,23,6,7,2,96,3,13
909,Email 910,4,3,1,1,0,2,11,0,0
910,Email 911,6,8,18,6,7,2,85,3,11
911,Email 912,0,4,3,0,2,0,15,3,1
912,Email 913,1,2,1,1,0,1,9,3,0
913,Email 914,2,6,1,0,2,1,30,2,0
914,Email 915,22,11,3,9,2,4,91,2,1
915,Email 916,10,3,1,0,1,1,9,1,0
916,Email 917,16,7,1,7,0,2,56,0,0
917,Email 918,2,5,4,1,5,2,31,1,2
918,Email 919,0,1,2,0,1,0,13,0,0
919,Email 920,3,4,1,2,0,2,36,1,1
920,Email 921,2,1,1,1,0,1,22,1,0
921,Email 922,10,9,20,6,2,2,74,7,8
922,Email 923,7,12,1,1,9,11,108,8,1
923,Email 924,4,4,3,2,1,1,102,1,0
924,Email 925,5,5,1,0,2,1,23,2,0
925,Email 926,24,8,34,19,6,4,139,3,17
926,Email 927,20,7,19,15,5,4,108,2,10
927,Email 928,5,9,2,2,2,5,62,11,1
928,Email 929,8,5,2,2,9,0,50,4,1
929,Email 930,8,8,20,7,4,1,82,7,8
930,Email 931,2,1,1,0,0,0,10,3,0
931,Email 932,21,13,9,9,2,6,131,0,0
932,Email 933,28,14,38,20,8,5,154,2,17
933,Email 934,8,2,1,3,2,2,27,1,0
934,Email 935,2,2,1,2,0,0,13,0,0
935,Email 936,5,3,1,1,3,0,14,1,0
936,Email 937,31,23,5,29,9,17,199,0,1
937,Email 938,0,4,1,1,2,1,73,8,0
938,Email 939,4,3,1,0,0,1,25,3,0
939,Email 940,7,1,12,0,0,0,39,1,4
940,Email 941,0,8,2,0,0,1,114,0,1
941,Email 942,1,2,1,1,2,1,33,0,0
942,Email 943,2,4,1,1,0,1,38,2,0
943,Email 944,20,12,6,7,1,2,68,0,2
944,Email 945,9,23,344,10,2,4,324,2,167
945,Email 946,11,6,93,5,4,3,116,2,45
946,Email 947,1,0,1,1,0,0,6,0,0
947,Email 948,14,5,10,7,9,2,73,2,4
948,Email 949,0,0,1,0,0,0,5,0,0
949,Email 950,0,1,1,0,0,0,19,1,0
950,Email 951,4,2,2,0,3,1,22,2,0
951,Email 952,8,14,3,7,4,6,116,11,3
952,Email 953,2,3,2,4,4,3,70,2,1
953,Email 954,8,10,1,3,1,3,259,1,1
954,Email 955,3,3,1,1,0,0,10,0,0
955,Email 956,8,11,23,2,4,2,65,0,12
956,Email 957,13,4,1,2,1,2,32,1,0
957,Email 958,8,13,23,2,5,3,70,0,12
958,Email 959,0,1,1,2,1,0,21,2,0
959,Email 960,0,0,1,0,1,0,2,0,0
960,Email 961,4,1,1,1,2,0,16,0,0
961,Email 962,7,3,1,5,1,12,69,12,0
962,Email 963,0,1,1,1,0,1,29,0,0
963,Email 964,1,2,1,0,1,2,7,0,0
964,Email 965,4,3,4,0,4,0,40,2,5
965,Email 966,4,3,4,1,4,0,26,0,1
966,Email 967,8,6,1,3,2,14,64,10,1
967,Email 968,4,5,7,1,5,0,36,0,2
968,Email 969,0,1,1,1,3,1,108,4,1
969,Email 970,9,8,2,2,6,2,65,3,0
970,Email 971,0,1,1,1,2,2,19,0,0
971,Email 972,5,4,10,0,5,0,61,3,8
972,Email 973,5,6,4,1,5,2,35,1,2
973,Email 974,3,8,1,1,0,0,23,0,0
974,Email 975,5,5,13,1,7,2,74,4,11
975,Email 976,7,2,1,0,3,0,25,0,0
976,Email 977,39,34,4,37,17,30,289,25,1
977,Email 978,1,1,1,0,0,2,14,0,0
978,Email 979,0,3,1,1,1,0,7,0,0
979,Email 980,2,7,1,0,0,0,23,1,2
980,Email 981,0,1,1,0,0,0,17,0,0
981,Email 982,8,1,1,1,2,2,42,1,0
982,Email 983,3,7,9,0,3,1,32,1,3
983,Email 984,0,4,1,2,1,0,21,4,0
984,Email 985,3,4,1,0,1,1,35,1,0
985,Email 986,4,0,1,0,5,0,22,0,0
986,Email 987,3,1,2,1,0,0,16,0,0
987,Email 988,5,5,10,2,3,2,58,0,4
988,Email 989,4,4,1,0,4,2,27,1,3
989,Email 990,0,2,1,0,0,0,16,4,0
990,Email 991,7,12,1,1,6,10,96,8,0
991,Email 992,5,2,1,3,4,1,21,0,0
992,Email 993,15,11,15,5,5,4,76,0,6
993,Email 994,0,4,53,1,2,0,52,1,24
994,Email 995,0,2,1,0,1,2,10,0,0
995,Email 996,6,7,1,1,2,1,28,1,0
996,Email 997,0,0,1,0,0,1,3,0,0
997,Email 998,5,7,14,2,4,2,83,2,6
998,Email 999,8,3,2,0,4,4,40,3,0
999,Email 1000,0,0,1,0,0,0,4,1,0
1000,Email 1001,17,15,9,13,21,6,144,9,5
1001,Email 1002,3,2,1,0,1,0,29,2,0
1002,Email 1003,2,3,15,1,2,0,46,1,7
1003,Email 1004,17,11,13,5,3,2,49,4,5
1004,Email 1005,0,8,1,1,0,0,49,2,0
1005,Email 1006,0,0,1,0,0,0,4,1,0
1006,Email 1007,12,7,4,2,1,2,59,9,0
1007,Email 1008,2,3,1,2,3,0,112,3,0
1008,Email 1009,8,9,72,5,7,0,146,4,29
1009,Email 1010,4,3,6,0,5,0,34,1,2
1010,Email 1011,3,7,3,2,2,1,80,1,1
1011,Email 1012,3,2,2,0,3,0,16,1,0
1012,Email 1013,6,1,2,0,3,0,14,1,0
1013,Email 1014,3,10,4,5,5,3,84,4,3
1014,Email 1015,8,21,2,2,10,1,68,0,0
1015,Email 1016,4,5,1,2,5,1,27,0,0
1016,Email 1017,4,13,2,10,4,7,101,19,0
1017,Email 1018,16,18,2,16,9,24,204,30,1
1018,Email 1019,2,9,1,0,0,2,35,4,0
1019,Email 1020,13,12,21,7,4,6,109,2,11
1020,Email 1021,1,10,1,1,2,0,19,0,0
1021,Email 1022,12,9,8,7,3,6,85,2,5
1022,Email 1023,0,1,1,0,0,0,0,1,0
1023,Email 1024,7,4,2,2,2,1,48,1,0
1024,Email 1025,4,5,39,3,1,0,63,2,19
1025,Email 1026,1,0,2,0,0,0,8,1,0
1026,Email 1027,1,2,1,2,0,2,118,2,0
1027,Email 1028,0,3,1,0,0,0,6,0,0
1028,Email 1029,24,20,59,12,3,3,163,3,27
1029,Email 1030,10,6,4,3,5,2,45,10,0
1030,Email 1031,8,19,18,7,3,3,150,8,11
1031,Email 1032,0,0,1,0,0,2,7,0,0
1032,Email 1033,1,2,1,4,1,2,108,5,0
1033,Email 1034,6,4,5,2,1,2,69,1,0
1034,Email 1035,18,19,18,18,3,6,143,3,0
1035,Email 1036,4,5,3,0,2,2,19,0,0
1036,Email 1037,0,1,1,1,0,0,6,1,0
1037,Email 1038,3,2,1,1,0,1,11,0,0
1038,Email 1039,11,7,11,11,16,0,98,3,4
1039,Email 1040,2,5,1,4,2,2,107,7,0
1040,Email 1041,2,2,2,0,0,0,20,1,1
1041,Email 1042,2,8,1,2,4,1,23,0,0
1042,Email 1043,17,12,40,4,10,5,128,2,19
1043,Email 1044,2,0,1,1,2,2,12,2,0
1044,Email 1045,0,1,2,0,1,0,11,0,0
1045,Email 1046,1,2,1,0,4,0,12,2,0
1046,Email 1047,44,24,7,10,28,12,212,11,4
1047,Email 1048,1,2,1,1,0,3,77,2,0
1048,Email 1049,3,4,2,0,0,1,20,2,0
1049,Email 1050,1,1,1,1,0,0,13,0,0
1050,Email 1051,2,2,2,0,1,0,30,2,0
1051,Email 1052,8,6,4,3,3,0,42,0,1
1052,Email 1053,40,21,23,30,18,32,325,3,0
1053,Email 1054,12,12,2,0,2,6,70,2,0
1054,Email 1055,3,3,16,1,2,0,43,1,8
1055,Email 1056,7,5,1,0,1,1,9,0,0
1056,Email 1057,0,2,1,0,3,0,19,1,0
1057,Email 1058,11,9,17,12,17,0,117,4,7
1058,Email 1059,0,0,1,0,0,1,10,0,0
1059,Email 1060,8,6,1,0,4,1,14,0,0
1060,Email 1061,19,17,9,2,5,9,148,3,3
1061,Email 1062,27,34,27,35,19,18,234,13,18
1062,Email 1063,3,6,1,2,3,4,37,2,1
1063,Email 1064,5,5,13,3,6,1,49,2,5
1064,Email 1065,28,19,48,17,24,2,222,7,20
1065,Email 1066,0,4,2,0,0,11,20,1,0
1066,Email 1067,9,6,2,5,3,3,44,0,0
1067,Email 1068,1,3,7,2,1,0,26,3,3
1068,Email 1069,8,7,24,6,8,1,78,1,10
1069,Email 1070,6,3,1,0,0,1,31,1,0
1070,Email 1071,3,2,1,1,2,2,24,2,0
1071,Email 1072,3,4,1,1,1,1,4,0,0
1072,Email 1073,4,9,3,2,4,0,42,9,1
1073,Email 1074,0,1,1,0,0,1,11,0,0
1074,Email 1075,4,6,4,1,5,2,38,1,2
1075,Email 1076,14,25,3,17,12,18,280,6,1
1076,Email 1077,4,6,9,2,2,0,38,2,4
1077,Email 1078,1,2,1,1,0,1,7,1,0
1078,Email 1079,4,4,4,1,1,0,14,2,0
1079,Email 1080,2,7,8,0,3,0,50,2,5
1080,Email 1081,9,9,5,1,6,0,53,1,2
1081,Email 1082,4,5,3,3,2,2,53,2,1
1082,Email 1083,20,17,28,9,8,2,141,9,14
1083,Email 1084,19,15,5,18,14,16,134,0,1
1084,Email 1085,11,14,7,6,11,4,141,7,2
1085,Email 1086,25,14,33,9,13,4,119,15,15
1086,Email 1087,4,5,1,0,1,1,23,3,0
1087,Email 1088,0,0,1,0,1,0,7,0,0
1088,Email 1089,5,8,11,0,3,3,37,0,4
1089,Email 1090,8,4,3,2,2,2,47,2,1
1090,Email 1091,7,6,22,3,3,1,70,1,10
1091,Email 1092,0,0,1,1,1,0,11,0,0
1092,Email 1093,8,16,5,8,8,9,243,5,0
1093,Email 1094,0,1,1,0,1,0,19,1,1
1094,Email 1095,0,0,1,0,0,1,38,1,0
1095,Email 1096,1,1,1,2,1,1,21,1,0
1096,Email 1097,9,7,1,1,4,1,40,4,1
1097,Email 1098,3,5,3,2,3,1,24,1,2
1098,Email 1099,2,2,1,2,1,1,42,4,0
1099,Email 1100,3,3,1,0,1,1,14,1,0
1100,Email 1101,13,9,17,2,8,2,92,3,8
1101,Email 1102,8,3,2,3,1,1,34,0,1
1102,Email 1103,3,1,1,0,2,2,22,1,0
1103,Email 1104,2,2,1,0,0,0,6,1,0
1104,Email 1105,6,6,7,3,5,0,43,2,3
1105,Email 1106,6,5,1,3,4,5,41,3,1
1106,Email 1107,2,3,1,1,0,0,15,5,0
